Movie,Genre,Director,Year,Duration,Votes,Rating
Inception,Sci-Fi,Nolan,2010,148,2500000,8.8
The Dark Knight,Action,Nolan,2008,152,2800000,9.0
Interstellar,Sci-Fi,Nolan,2014,169,2100000,8.7
Avengers: Endgame,Action,Russo,2019,181,1200000,8.4
Titanic,Romance,Cameron,1997,194,1300000,7.9
Joker,Drama,Phillips,2019,122,1400000,8.4
Parasite,Thriller,Bong,2019,132,950000,8.5
The Godfather,Crime,Coppola,1972,175,1900000,9.2
Forrest Gump,Drama,Zemeckis,1994,142,2200000,8.8
The Shawshank Redemption,Drama,Darabont,1994,142,2900000,9.3
Gladiator,Action,Scott,2000,155,1600000,8.5
Avatar,Sci-Fi,Cameron,2009,162,1400000,7.9
The Matrix,Sci-Fi,Wachowski,1999,136,2000000,8.7
Dangal,Sport,Nitesh,2016,161,210000,8.3
3 Idiots,Comedy,Hirani,2009,170,430000,8.4
KGF: Chapter 2,Action,Neel,2022,168,180000,8.2
RRR,Action,Rajamouli,2022,182,250000,7.9
Baahubali 2,Action,Rajamouli,2017,167,120000,8.2
Pushpa: The Rise,Action,Sukumar,2021,179,150000,7.6
Drishyam,Thriller,Nishikant,2015,163,98000,8.3
The Prestige,Drama,Nolan,2006,130,1400000,8.5
Memento,Thriller,Nolan,2000,113,1300000,8.4
Tenet,Sci-Fi,Nolan,2020,150,600000,7.4
Oppenheimer,Drama,Nolan,2023,180,1200000,8.5
The Batman,Action,Reeves,2022,176,800000,7.8
Spider-Man: No Way Home,Action,Watts,2021,148,900000,8.2
Doctor Strange,Action,Derrickson,2016,115,800000,7.5
Black Panther,Action,Coogler,2018,134,850000,7.3
Iron Man,Action,Favreau,2008,126,1100000,7.9
Captain America: Civil War,Action,Russo,2016,147,850000,7.8
Thor: Ragnarok,Action,Waititi,2017,130,750000,7.9
The Lion King,Animation,Minkoff,1994,88,1100000,8.5
Frozen,Animation,Buck,2013,102,700000,7.5
Finding Nemo,Animation,Stanton,2003,100,1100000,8.2
Toy Story,Animation,Lasseter,1995,81,1100000,8.3
Up,Animation,Docter,2009,96,1100000,8.3
Coco,Animation,Unkrich,2017,105,600000,8.4
The Avengers,Action,Whedon,2012,143,1500000,8.0
Logan,Action,Mangold,2017,137,850000,8.1
Deadpool,Action,Miller,2016,108,1100000,8.0
John Wick,Action,Stahelski,2014,101,800000,7.5
Mad Max: Fury Road,Action,Miller,2015,120,1100000,8.1
The Wolf of Wall Street,Comedy,Scorsese,2013,180,1600000,8.2
The Social Network,Drama,Fincher,2010,120,800000,7.8
Fight Club,Drama,Fincher,1999,139,2400000,8.8
